order_no,id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,filled_avg_price,qty,filled_qty,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs,trail_percent,trail_price,hwm,asset_id,symbol,current_price,pnl
856,a7215d53-0c7e-4886-b087-3970c03d008b,2023-06-07 18:05:21.367968+00:00,2023-06-07 18:05:21.413618+00:00,2023-06-07 18:05:21.366694+00:00,2023-06-07 18:05:21.370197+00:00,,,,,1919.3128838,1.0,1.0,limit,buy,gtc,1921.765212035,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-79.69288380000012
857,e06aa6fa-2872-4ee2-93d0-2b7bd6766985,2023-06-07 18:05:19.387699+00:00,2023-06-07 18:05:19.413793+00:00,2023-06-07 18:05:19.386601+00:00,2023-06-07 18:05:19.389514+00:00,,,,,91.9651984,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-68.09436480000002
858,cb392830-b075-40e6-8743-94b01beefaf9,2023-06-07 18:05:19.336997+00:00,2023-06-07 18:05:19.363609+00:00,2023-06-07 18:05:19.335625+00:00,2023-06-07 18:05:19.338914+00:00,,,,,91.969683,17.0,17.0,limit,buy,gtc,92.504299573,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-52.69461099999998
859,375e8d11-3639-44fd-9e2e-9f823c421e34,2023-06-07 18:05:17.526291+00:00,2023-06-07 18:05:17.563445+00:00,2023-06-07 18:05:17.524943+00:00,2023-06-07 18:05:17.528265+00:00,,,,,14.621860404,141.0,141.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-139.8523169639998
860,93ea8b3b-1b5b-42a6-970c-bcb652bde4a0,2023-06-07 18:05:17.484745+00:00,2023-06-07 18:05:17.613736+00:00,2023-06-07 18:05:17.483562+00:00,2023-06-07 18:05:17.576414+00:00,,,,,14.611034408,66.0,66.0,limit,buy,gtc,14.611034408,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-64.74827092799995
861,28fd881d-0129-42bf-8f7b-ed2f1419b328,2023-06-07 18:05:15.556214+00:00,2023-06-07 18:05:15.564136+00:00,2023-06-07 18:05:15.555063+00:00,2023-06-07 18:05:15.559391+00:00,,,,,115.6,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-81.59999999999995
862,a5a989be-9f03-40c6-b1d9-c50e2e7e7f34,2023-06-07 18:05:15.514988+00:00,2023-06-07 18:16:50.213752+00:00,2023-06-07 18:05:15.513468+00:00,2023-06-07 18:16:50.199840+00:00,,,,,115.455318168,15.0,15.0,limit,buy,gtc,115.455318168,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-69.82977252000012
863,10c1d8eb-2ade-41ee-a027-24e62ee13b87,2023-06-07 18:00:18.484805+00:00,2023-06-07 18:00:18.513950+00:00,2023-06-07 18:00:18.483300+00:00,2023-06-07 18:00:18.486934+00:00,,,,,1922.6831205,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-83.0631205000002
864,99b05610-337a-4875-9827-63b52dab875e,2023-06-07 18:00:18.438238+00:00,2023-06-07 18:00:18.563239+00:00,2023-06-07 18:00:18.437136+00:00,2023-06-07 18:00:18.528482+00:00,,,,,1921.673448768,1.0,1.0,limit,buy,gtc,1921.673448768,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-82.05344876800018
865,728e8368-b2fa-4586-8fee-d1e66e0b22e4,2023-06-07 18:00:16.277161+00:00,2023-06-07 18:00:16.313879+00:00,2023-06-07 18:00:16.275620+00:00,2023-06-07 18:00:16.279404+00:00,,,,,115.469826041,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-79.38704269700013
866,5f3913ee-19c4-46dd-a2a1-d1de4013c0a0,2023-06-07 18:00:16.232957+00:00,2023-06-07 18:00:16.263776+00:00,2023-06-07 18:00:16.231526+00:00,2023-06-07 18:00:16.235265+00:00,,,,,115.4540378,15.0,15.0,limit,buy,gtc,115.454093371,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-69.81056699999996
867,e12c868b-4a88-4039-9f25-0f1882a0240f,2023-06-07 17:55:20.158802+00:00,2023-06-07 17:55:20.164113+00:00,2023-06-07 17:55:20.157571+00:00,2023-06-07 17:55:20.161410+00:00,,,,,91.97,22.0,22.0,market,buy,gtc,,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-68.19999999999987
868,71d76bba-7ac4-4951-b16f-718f92f4fce4,2023-06-07 17:55:20.111317+00:00,2023-06-07 17:55:20.163910+00:00,2023-06-07 17:55:20.110069+00:00,2023-06-07 17:55:20.113545+00:00,,,,,91.97,18.0,18.0,limit,buy,gtc,92.572795119,,filled,False,,,,,19c466e7-e8f7-43e0-a8c5-f17ec9f5de8d,LTC/USD,88.87,-55.7999999999999
869,c75a435a-1109-4fb3-a937-dded7de3ccf8,2023-06-07 17:55:17.873716+00:00,2023-06-07 17:55:17.913566+00:00,2023-06-07 17:55:17.872374+00:00,2023-06-07 17:55:17.875803+00:00,,,,,14.672192832,141.0,141.0,market,buy,gtc,,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-146.94918931199993
870,d0a66e0c-4358-45b3-9a39-5b125d8ad067,2023-06-07 17:55:17.831789+00:00,2023-06-07 18:05:49.514521+00:00,2023-06-07 17:55:17.830628+00:00,2023-06-07 18:05:49.475372+00:00,,,,,14.601369551,75.0,75.0,limit,buy,gtc,14.601369551,,filled,False,,,,,0515189d-1933-4a94-89ce-4e9a24356d58,AVAX/USD,13.63,-72.8527163249999
871,aaea9e40-09f1-463a-b00e-39510b33f80f,2023-06-07 17:55:15.638053+00:00,2023-06-07 17:55:15.664371+00:00,2023-06-07 17:55:15.636786+00:00,2023-06-07 17:55:15.639981+00:00,,,,,115.33582,17.0,17.0,market,buy,gtc,,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-77.10894000000002
872,c202f2d8-fb3e-436a-9cfe-710090dd4ae1,2023-06-07 17:55:15.588094+00:00,2023-06-07 17:55:15.613829+00:00,2023-06-07 17:55:15.587092+00:00,2023-06-07 17:55:15.590024+00:00,,,,,115.36334,15.0,15.0,limit,buy,gtc,115.476033781,,filled,False,,,,,f0a05db3-5c93-4524-8a32-2f2b8d4f12fc,BCH/USD,110.8,-68.45009999999995
873,271012b0-00fb-411c-98f4-7ab802e5f1f2,2023-06-07 17:50:37.450855+00:00,2023-06-07 17:50:37.463855+00:00,2023-06-07 17:50:37.449793+00:00,2023-06-07 17:50:37.452835+00:00,,,,,1916.36,1.0,1.0,market,buy,gtc,,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-76.74000000000001
874,44371cea-19d9-4b55-88b9-c4e870837fd1,2023-06-07 17:50:37.407477+00:00,2023-06-07 17:50:37.413815+00:00,2023-06-07 17:50:37.406074+00:00,2023-06-07 17:50:37.409569+00:00,,,,,1916.4906,1.0,1.0,limit,buy,gtc,1923.172490774,,filled,False,,,,,a1733398-6acc-4e92-af24-0d0667f78713,ETH/USD,1839.62,-76.8706000000002
